Victory,1301,Braum,Sona,Janna,Jayce,Kennen,Lux,Nasus,Ziggs,Ekko,Poppy
Victory,971,Morgana,Nasus,Garen,Jarvan IV,Nidalee,Lucian,Orianna,Soraka,Illaoi,Blitzcrank
Victory,1383,Graves,Hecarim,Lucian,Nasus,Xerath,Katarina,Zilean,Kog'Maw,Cho'Gath,Miss Fortune
Victory,898,Volibear,Annie,Gangplank,Miss Fortune,Wukong,Veigar,Lee Sin,Malzahar,Ezreal,Diana
Victory,1133,Viktor,Irelia,Urgot,Kayle,Kennen,Janna,Nami,Draven,Leona,Anivia
Defeat,1128,Annie,Kled,Corki,Swain,Kalista,Shaco,Vayne,Kog'Maw,Vel'Koz,Nautilus
Defeat,1372,Alistar,Darius,Azir,Urgot,Brand,Cho'Gath,Nidalee,Maokai,Soraka,Illaoi
Defeat,899,Caitlyn,Jayce,Jarvan IV,Zac,Akali,Vel'Koz,Orianna,Aatrox,Renekton,Urgot
Defeat,1525,Volibear,Orianna,Galio,Brand,Garen,Viktor,Gangplank,Kayle,Fiddlesticks,Ornn
Victory,1010,Zyra,Zilean,Lux,Malphite,Taric,Heimerdinger,Ornn,Cassiopeia,Zed,Gangplank
Victory,1035,Alistar,Jayce,Nunu & Willump,Sona,Yorick,Braum,Xerath,Katarina,Jhin,Anivia
Defeat,736,Viktor,Twitch,Vi,Rengar,Soraka,Ornn,Ziggs,Lux,Pantheon,Zoe
Victory,880,Rakan,Sivir,Galio,Sion,Xayah,Orianna,Lulu,Xin Zhao,Zyra,Tristana
Defeat,1125,Alistar,Lissandra,Twitch,Xayah,Soraka,Jhin,Graves,Pantheon,Wukong,Teemo
Defeat,554,Aurelion Sol,Morgana,Cho'Gath,Urgot,Orianna,Jhin,Graves,Warwick,Amumu,Fiddlesticks
Victory,1044,Brand,Varus,Heimerdinger,Kai'Sa,Rengar,Cassiopeia,Vayne,Annie,Jax,Ahri
Victory,1218,Ziggs,Pyke,Tristana,Maokai,Sion,Taliyah,Varus,Gnar,Lucian,Blitzcrank
Defeat,1193,LeBlanc,Karma,Garen,Draven,Yorick,Sivir,Nautilus,Brand,Darius,Thresh
Defeat,1145,Miss Fortune,Zoe,Skarner,Morgana,Lucian,Twisted Fate,Vel'Koz,Shaco,Nasus,Amumu
Defeat,1640,Xayah,Fiora,Teemo,Ziggs,Blitzcrank,Twisted Fate,Cho'Gath,Fiddlesticks,Karma,Shyvana
Defeat,1615,Ornn,Janna,Orianna,Fiddlesticks,Vladimir,Zyra,Teemo,Viktor,Diana,Ivern
Victory,1271,Zyra,Darius,Vladimir,Shyvana,Irelia,Ashe,Viktor,Ekko,Kai'Sa,Nasus
Defeat,1022,Kog'Maw,Jayce,Twisted Fate,Wukong,Draven,Nidalee,Pyke,Varus,Kassadin,Darius
Defeat,1003,Skarner,Master Yi,Sona,Nocturne,Veigar,Nami,Thresh,Lissandra,Kog'Maw,Cho'Gath
Victory,1943,Vayne,Jax,Taliyah,Jayce,Maokai,LeBlanc,Tryndamere,Kayn,Ziggs,Karthus
Defeat,1568,Gangplank,Nidalee,Veigar,Sivir,Cho'Gath,Jarvan IV,Fiora,Zed,Ornn,Janna
Defeat,974,Tristana,Akali,Veigar,Malzahar,Kalista,Varus,Galio,Tahm Kench,LeBlanc,Sion
Victory,927,Nami,Nocturne,Sion,Cho'Gath,Varus,Xerath,Vladimir,Ezreal,Amumu,Lux
Defeat,1644,Urgot,Vel'Koz,Xayah,Udyr,Corki,Ezreal,Janna,Zilean,Dr. Mundo,Karma
Victory,905,Camille,Thresh,Nautilus,Sivir,Jayce,Zilean,Twitch,Udyr,Talon,Morgana
Victory,958,Kindred,Darius,Pyke,Vel'Koz,Soraka,Orianna,Gragas,Morgana,Lulu,Xayah
Victory,1199,Fiddlesticks,Maokai,Jinx,Dr. Mundo,Shyvana,Ezreal,Twitch,Veigar,Illaoi,Karma
Victory,1709,Blitzcrank,Cho'Gath,Vladimir,Graves,Akali,Zed,Viktor,Ekko,Garen,Karthus
Defeat,718,Rakan,Thresh,Udyr,Malzahar,Caitlyn,Mordekaiser,Shyvana,Kindred,Cassiopeia,Blitzcrank
Defeat,1089,Zilean,Viktor,Tristana,Ziggs,Fiddlesticks,Karma,Jhin,Xayah,Blitzcrank,Braum
Defeat,906,Kayn,Vladimir,Jax,Ahri,Caitlyn,Riven,Brand,Vel'Koz,Akali,Gangplank
Victory,1339,Leona,Ryze,Jinx,Soraka,Master Yi,Lee Sin,Thresh,Kennen,Sona,Zoe
Victory,791,Janna,Miss Fortune,Twisted Fate,Fiddlesticks,Garen,Ezreal,Kayle,Azir,Nautilus,Sion
Defeat,969,Corki,Cassiopeia,Annie,Cho'Gath,Dr. Mundo,Gragas,Shaco,Sivir,Heimerdinger,Nami
Victory,1282,Diana,Twitch,Ryze,Lee Sin,Yasuo,Ezreal,Blitzcrank,Master Yi,LeBlanc,Jhin
Defeat,1254,Janna,Sivir,Nasus,Yasuo,Swain,Kayn,Fizz,Teemo,Miss Fortune,Sion
Defeat,1534,Twisted Fate,Zilean,Viktor,Wukong,Soraka,Vel'Koz,Syndra,Warwick,Shaco,Garen
